,Compound,m/z,Group ID
11,y3,373.230744,496.251481
12,y2,276.177981,496.251481
13,b2,185.128454,496.251481
8,y7,807.374508,496.251481
9,y6,660.306094,496.251481
10,y5,545.279151,496.251481
51,y2,276.177981,364.536762
50,y3,373.230744,364.536762
54,b4,428.25036,364.536762
53,b3,313.223417,364.536762
52,b2,242.186303,364.536762
55,b5,556.308937,364.536762
24,y4,579.347506,380.540507
25,y3,442.288594,380.540507
23,y5,707.406083,380.540507
22,y6,822.433026,380.540507
27,y4,290.177391,380.540507
26,y6,411.720151,380.540507
5,y7,390.217244,360.196628
3,y2,286.187483,360.196628
2,y3,423.246395,360.196628
4,y8,447.730716,360.196628
6,b2,185.128454,360.196628
1,y7,779.427213,360.196628
117,b2,215.139019,547.332471
115,y5,566.362153,547.332471
116,y4,495.325039,547.332471
118,b3,286.176132,547.332471
113,y8,879.525924,547.332471
114,y6,679.446217,547.332471
